course_code,facility_code,course_name,hol,par,course_type,course_architect,open_date,guest_policy,weekday_price,weekend_price,twilight_price,fairway,green,currency
USA-AL-00158-01,USA-AL-00158,Roundabout Golf Plantation,18,72,Parkland,Charles Hobbs,2000,Open,25,35,35,N/D,N/D,USD
USA-AL-00159-01,USA-AL-00159,Canyon,18,72,Parkland,Robert Trent Jones Sr,1993,Open,65,65,65,N/D,N/D,USD
USA-AL-00159-02,USA-AL-00159,Loblolly,18,72,Parkland,Robert Trent Jones Sr,1993,Open,65,65,65,N/D,N/D,USD
USA-AL-00159-03,USA-AL-00159,Sherling,18,72,Parkland,Robert Trent Jones Sr,1993,Open,65,65,65,N/D,N/D,USD
USA-AL-00159-04,USA-AL-00159,Short Course,9,36,Parkland,Robert Trent Jones Sr,1993,Open,18,18,18,N/D,N/D,USD
USA-AL-00160-01,USA-AL-00160,Senator,18,72,Parkland,Robert Trent Jones Sr,1999,Open,65,65,65,N/D,N/D,USD
USA-AL-00160-02,USA-AL-00160,Legislator,18,72,Parkland,Robert Trent JonesSr.,1999,Open,65,65,65,N/D,N/D,USD
USA-AL-00160-03,USA-AL-00160,Judge,18,72,Parkland,Robert Trent Jones Sr,1999,Open,65,65,65,N/D,N/D,USD
USA-AL-00161-01,USA-AL-00161,Lakes,18,72,Parkland,Robert Trent Jones Sr,1992,Open,65,65,65,N/D,N/D,USD
USA-AL-00161-02,USA-AL-00161,Link,18,72,Parkland,Robert Trent Jones Sr,1992,Open,65,65,65,N/D,N/D,USD
USA-AL-00161-03,USA-AL-00161,The Short,18,54,Parkland,Robert Trent Jones Sr,1992,Open,18,18,18,N/D,N/D,USD
USA-AL-00162-01,USA-AL-00162,Highlands,18,72,Parkland,Robert Trent Jones Sr,1993,Open,65,65,65,N/D,N/D,USD
USA-AL-00162-02,USA-AL-00162,River,18,72,Parkland,Robert Trent Jones Sr,1993,Open,65,65,65,N/D,N/D,USD
USA-AL-00162-03,USA-AL-00162,Short,18,54,Parkland,Robert Trent Jones Sr,1992,Open,18,18,18,N/D,N/D,USD
USA-AL-00163-01,USA-AL-00163,Highlands,9,36,Parkland,Robert Trent Jones Sr,1993,Open,65,65,65,N/D,N/D,USD
USA-AL-00163-02,USA-AL-00163,Mangolia,9,36,Parkland,Robert Trent Jones Sr,1993,Open,65,65,65,N/D,N/D,USD
USA-AL-00163-03,USA-AL-00163,Marshwood,9,36,Parkland,Robert Trent Jones Sr,1993,Open,65,65,65,N/D,N/D,USD
USA-AL-00163-04,USA-AL-00163,Short Course,9,27,Parkland,Robert Trent Jones Sr,1993,Open,18,18,18,N/D,N/D,USD
USA-AL-00164-01,USA-AL-00164,Falls,18,72,Parkland,Robert Trent Jones Sr,1992,Open,65,65,65,N/D,N/D,USD
USA-AL-00164-02,USA-AL-00164,Crossings,18,72,Parkland,Robert Trent Jones Sr,1992,Open,65,65,65,N/D,N/D,USD
USA-AL-00164-03,USA-AL-00164,Short,18,54,Parkland,Robert Trent Jones Sr,1992,Open,18,18,18,N/D,N/D,USD
USA-AL-00165-01,USA-AL-00165,Ridge,18,72,Parkland,Robert Trent Jones Sr,1992,Open,65,65,65,N/D,N/D,USD
USA-AL-00165-02,USA-AL-00165,Short,18,54,Parkland,Robert Trent Jones Sr,1992,Open,18,28,28,N/D,N/D,USD
USA-AL-00165-03,USA-AL-00165,Valley,18,72,Parkland,Robert Trent Jones Sr,1992,Open,65,65,65,N/D,N/D,USD
